ind logFC logCPM PValue twd PValue_fdr Decide_test August_1m August_2m August_3m August_4m December_1m December_2m December_3m December_4m
167 ind-167 1.02407844509501 10.2494696544671 0.219097271430859 0.628419549003831 1 0 2424 1724 2805 1859 5162 5941 6211 5275
168 ind-168 1.23207189970957 8.3962651474432 0.173324640945453 0.729125115441509 1 0 757 513 467 485 1207 1691 2218 1416
169 ind-169 -0.547254561380247 6.79662854380692 0.614186054274968 1.04847165680475 1 0 340 330 311 485 249 260 307 424
170 ind-170 -1.09549462789808 7.70984030233759 0.26134076054041 0.845423615329881 1 0 795 953 779 606 374 433 750 283
171 ind-171 1.30721954300627 6.81604587947801 0.245349153396335 1.09531464641691 1 0 113 293 77 242 416 650 511 637
172 ind-172 0.36139495376749 6.4342063556126 0.758084404984962 1.2111112446461 1 0 189 293 116 242 333 303 238 460
173 ind-173 1.1528433544175 6.64884045294709 0.308337118039905 1.11494732109846 1 0 227 183 116 161 374 520 375 637
174 ind-174 1.26614006479676 5.87867370468547 0.333276736920295 1.450385716746 1 0 75 146 77 80 291 216 273 354
175 ind-175 -1.06128936880781 7.32951573173126 0.297385973294118 0.918435011029012 1 0 681 513 389 848 249 390 375 424
176 ind-176 -0.774876865859982 6.37348522893878 0.508789972166596 1.2012687991611 1 0 303 293 272 282 208 216 204 212
177 ind-177 -1.34999634323162 7.13426698743949 0.219269107193101 1.04772143178439 1 0 530 696 545 444 124 390 477 106
178 ind-178 0.346543113535118 9.08770332632606 0.687901549490124 0.682222740258453 1 0 1856 1467 1169 767 2164 2298 1808 2159
179 ind-179 -0.454901619591815 7.84944199100997 0.632353610173396 0.819279260383845 1 0 606 440 935 970 499 910 511 778
180 ind-180 -0.501291883766735 6.66317626582065 0.654981554707303 1.11531939692581 1 0 340 366 350 242 333 260 170 389
181 ind-181 -0.0127362418440188 8.44675239181998 0.988962451884942 0.739630531395666 1 0 947 990 896 1050 541 1431 1672 1168
182 ind-182 -0.517659235979942 8.33381009817167 0.56336996468947 0.731120572123346 1 0 1401 953 1052 767 999 780 887 991
183 ind-183 0.687945324718234 7.31913270025228 0.506621421544483 0.958497530882174 1 0 151 403 428 363 915 433 682 672
184 ind-184 -0.301610878012934 7.71766682435097 0.749443726733183 0.809287131796428 1 0 568 733 584 687 499 823 546 743
185 ind-185 -2.1281544999924 7.38655404206895 0.0549196359642954 1.02105606312549 1 0 1098 733 740 404 416 86 102 247
186 ind-186 -0.117887463381588 6.39998615401653 0.920170304558225 1.20411179083126 1 0 189 256 311 202 249 346 238 283
187 ind-187 0.155621726491352 8.12096707038396 0.866621867657335 0.780150647601506 1 0 719 843 311 1091 1040 1040 1194 778
188 ind-188 0.127500752642659 6.81743209978645 0.907551984053956 1.06247007579771 1 0 454 220 233 282 333 563 273 460
189 ind-189 1.01743387410147 7.67798758992009 0.296943541640809 0.847808485273747 1 0 227 550 389 323 1290 780 853 849
190 ind-190 2.30797069191113 6.53386974664702 0.0562230584369779 1.18305882444794 1 0 75 110 77 80 624 260 477 743
191 ind-191 0.573119040871878 8.7494226919093 0.506534718181484 0.679884129455025 1 0 719 1063 857 1212 1915 1908 1774 1522
192 ind-192 0.712683737847187 8.83868928460082 0.415966288491294 0.69804427486868 1 0 1363 953 818 687 1998 1344 2252 2230
193 ind-193 -0.111230547542258 7.66364620389625 0.907351419219496 0.824403957114657 1 0 568 476 740 525 749 693 682 566
194 ind-194 -0.79946604277022 6.70469552282512 0.475614499442719 1.10722891367415 1 0 378 293 350 444 249 173 443 177
195 ind-195 1.33239512304285 8.02356762779048 0.155982456771857 0.779038655671381 1 0 378 256 584 404 1207 1301 1467 1168
196 ind-196 0.939554348593628 9.41280460262648 0.268148840508844 0.65229457832776 1 0 1439 1137 1052 1576 2081 4250 2935 3186
197 ind-197 1.83096478630968 8.43914168261989 0.047250731427069 0.734167600966795 1 0 265 403 389 646 1207 2081 1979 2230
198 ind-198 -0.349652268364318 10.3693160541631 0.669202942308106 0.61726478103048 1 0 4243 4402 3624 4163 4288 3859 4675 3257
199 ind-199 -2.1864396914113 7.47092030623248 0.0333954125729928 0.880802647483018 1 0 644 513 974 1091 208 260 238 177
