August_1m	August_2m	August_3m	August_4m	December_1m	December_2m	December_3m	December_4m	August_1t	August_2t	August_3t	August_4t	December_1t	December_2t	December_3t	December_4t
189.0	183.0	155.0	242.0	1040.0	390.0	887.0	672.0	3157.0	2321.0	2783.0	2921.0	4180.0	2849.0	3909.0	3044.0
606.0	696.0	974.0	808.0	1623.0	1517.0	1877.0	1628.0	1061.0	1118.0	1694.0	1494.0	2290.0	1669.0	2269.0	1893.0
1022.0	1173.0	974.0	808.0	2289.0	2515.0	2423.0	3115.0	5039.0	5485.0	5473.0	4840.0	6343.0	7885.0	7997.0	7263.0
151.0	220.0	350.0	161.0	249.0	216.0	238.0	354.0	1968.0	1667.0	2262.0	1188.0	1206.0	888.0	1090.0	1573.0
303.0	220.0	311.0	242.0	666.0	910.0	784.0	1133.0	2444.0	2096.0	2494.0	2184.0	3330.0	3252.0	2833.0	3293.0
1136.0	1760.0	857.0	1980.0	3164.0	4206.0	3720.0	5523.0	2237.0	3486.0	2477.0	3536.0	4224.0	5900.0	5173.0	7009.0
416.0	366.0	389.0	323.0	791.0	1127.0	1228.0	601.0	9261.0	10789.0	8856.0	11548.0	10013.0	12124.0	11813.0	8984.0
5834.0	6383.0	4598.0	6345.0	6328.0	7242.0	7713.0	8674.0	17842.0	15997.0	13406.0	16271.0	14252.0	14063.0	15677.0	17384.0
719.0	403.0	506.0	606.0	1706.0	1778.0	1774.0	1133.0	5105.0	5044.0	5332.0	4330.0	6882.0	6068.0	6573.0	5810.0
492.0	623.0	584.0	646.0	1373.0	1517.0	1160.0	1274.0	5727.0	6496.0	4996.0	5879.0	9607.0	9089.0	8288.0	7917.0
303.0	440.0	311.0	727.0	582.0	780.0	511.0	708.0	1722.0	1922.0	1658.0	2607.0	1787.0	1996.0	1450.0	1825.0
303.0	440.0	467.0	202.0	707.0	867.0	648.0	708.0	1436.0	2038.0	2687.0	2127.0	2063.0	2344.0	2168.0	1878.0
378.0	586.0	194.0	282.0	416.0	433.0	546.0	318.0	966.0	1227.0	836.0	968.0	666.0	693.0	853.0	495.0
2121.0	2457.0	2104.0	1455.0	3663.0	3512.0	4470.0	4709.0	4277.0	4289.0	4110.0	2729.0	5619.0	5446.0	6470.0	6245.0
7690.0	6272.0	8105.0	7315.0	7951.0	6288.0	7406.0	10126.0	12227.0	10166.0	11955.0	11152.0	14780.0	11433.0	13441.0	17310.0
530.0	403.0	662.0	687.0	1082.0	1127.0	887.0	778.0	3120.0	2620.0	2548.0	3271.0	3351.0	3316.0	2881.0	2353.0
3220.0	4108.0	3546.0	3718.0	3372.0	3339.0	3856.0	4036.0	4770.0	5963.0	5575.0	6187.0	6120.0	6828.0	7503.0	7420.0
8297.0	7116.0	8690.0	8649.0	10616.0	10885.0	14470.0	14446.0	12628.0	11260.0	13926.0	13578.0	15123.0	14810.0	19661.0	18194.0
2879.0	2861.0	3974.0	3597.0	5745.0	7155.0	7440.0	7896.0	5361.0	5610.0	7010.0	6045.0	8852.0	9643.0	10989.0	10757.0
530.0	513.0	623.0	606.0	124.0	216.0	136.0	424.0	10007.0	8704.0	7250.0	8305.0	13877.0	10842.0	12410.0	11802.0
1022.0	953.0	311.0	687.0	2414.0	1604.0	1331.0	1805.0	1760.0	1779.0	936.0	1537.0	2850.0	2148.0	1825.0	2194.0
530.0	513.0	467.0	525.0	1040.0	867.0	784.0	956.0	2867.0	2951.0	2750.0	2198.0	3854.0	3011.0	2951.0	3366.0
227.0	256.0	350.0	404.0	624.0	693.0	375.0	601.0	5982.0	4755.0	4496.0	4989.0	4397.0	4155.0	3322.0	4492.0
1098.0	1283.0	1247.0	1535.0	1415.0	650.0	1194.0	1310.0	4971.0	5095.0	4485.0	5085.0	9374.0	7564.0	8181.0	7798.0
1780.0	1027.0	1363.0	1333.0	1373.0	954.0	1774.0	920.0	3334.0	2877.0	3351.0	2887.0	2041.0	1538.0	2424.0	1433.0
530.0	440.0	623.0	485.0	499.0	997.0	580.0	531.0	2444.0	2717.0	2900.0	2836.0	1435.0	2298.0	1946.0	1594.0
985.0	476.0	1091.0	687.0	1540.0	1040.0	1877.0	1912.0	7296.0	5815.0	5803.0	5823.0	5970.0	4248.0	6926.0	5794.0
1704.0	1834.0	1909.0	1576.0	1040.0	823.0	1365.0	1203.0	100287.0	101900.0	127300.0	78816.0	130103.0	91555.0	105012.0	120387.0
12843.0	10638.0	33747.0	12287.0	5787.0	4336.0	3856.0	4461.0	12843476.0	10638382.0	16873860.0	12287315.0	-9.223372036854776e+18	-9.223372036854776e+18	-9.223372036854776e+18	-9.223372036854776e+18
227.0	293.0	311.0	363.0	416.0	390.0	307.0	283.0	5412.0	5754.0	5469.0	5963.0	13010.0	12197.0	15358.0	13488.0
644.0	366.0	389.0	323.0	166.0	173.0	375.0	141.0	26836.0	17468.0	27835.0	16167.0	33306.0	24781.0	34129.0	35408.0
340.0	403.0	116.0	323.0	291.0	520.0	716.0	495.0	1230.0	1467.0	899.0	1193.0	749.0	954.0	1261.0	902.0
985.0	733.0	701.0	606.0	1124.0	563.0	1023.0	956.0	11454.0	11287.0	10628.0	8915.0	7699.0	3416.0	4046.0	4877.0
151.0	293.0	272.0	121.0	957.0	216.0	511.0	495.0	4209.0	3912.0	4471.0	3190.0	5148.0	2105.0	3302.0	3177.0
454.0	440.0	116.0	242.0	749.0	823.0	887.0	849.0	2154.0	2201.0	1885.0	1595.0	2557.0	2191.0	2201.0	2266.0
75.0	183.0	311.0	242.0	749.0	433.0	341.0	460.0	1037.0	935.0	1189.0	989.0	1687.0	1106.0	870.0	1009.0
189.0	256.0	272.0	282.0	374.0	693.0	580.0	106.0	1214.0	1172.0	1091.0	1010.0	458.0	737.0	648.0	229.0
9623.0	10344.0	11106.0	11761.0	18734.0	17867.0	23105.0	25812.0	22536.0	24114.0	24958.0	27481.0	36378.0	34694.0	45216.0	43455.0
189.0	293.0	116.0	242.0	1124.0	1084.0	546.0	672.0	12628.0	13974.0	9742.0	14265.0	25547.0	23569.0	16060.0	23198.0
492.0	843.0	428.0	444.0	749.0	780.0	614.0	778.0	4358.0	6591.0	3402.0	4832.0	2938.0	3548.0	3530.0	2812.0
530.0	660.0	740.0	485.0	499.0	650.0	409.0	460.0	10400.0	9045.0	10428.0	9898.0	21721.0	18586.0	18615.0	17048.0
568.0	843.0	545.0	323.0	3830.0	1127.0	1979.0	2903.0	1362.0	1302.0	1111.0	525.0	4433.0	1495.0	2320.0	3310.0
530.0	256.0	194.0	323.0	707.0	737.0	921.0	1062.0	25257.0	19752.0	24356.0	17018.0	25277.0	19401.0	28796.0	27236.0
265.0	183.0	194.0	202.0	416.0	303.0	443.0	318.0	6630.0	6793.0	6089.0	6124.0	5863.0	5621.0	6622.0	6373.0
303.0	146.0	389.0	363.0	457.0	607.0	614.0	531.0	7577.0	6987.0	7793.0	6995.0	6106.0	6391.0	8301.0	5710.0
113.0	220.0	155.0	161.0	208.0	216.0	273.0	247.0	1748.0	2057.0	2106.0	1971.0	1565.0	1762.0	2116.0	1641.0
378.0	220.0	350.0	242.0	499.0	563.0	955.0	637.0	15785.0	20009.0	20630.0	17322.0	9251.0	10842.0	14053.0	6570.0
189.0	110.0	155.0	202.0	457.0	216.0	443.0	531.0	1023.0	809.0	1012.0	1010.0	1375.0	911.0	1212.0	1521.0
151.0	73.0	116.0	121.0	457.0	346.0	511.0	212.0	2444.0	2223.0	2125.0	1496.0	2973.0	2409.0	3065.0	2124.0
340.0	330.0	233.0	404.0	333.0	693.0	648.0	566.0	1608.0	1701.0	1612.0	1698.0	1125.0	1430.0	1434.0	1345.0
681.0	623.0	623.0	646.0	791.0	823.0	784.0	708.0	2783.0	2821.0	3247.0	2099.0	1977.0	1995.0	2357.0	1806.0
227.0	110.0	77.0	242.0	249.0	867.0	307.0	531.0	1567.0	2501.0	1367.0	2287.0	957.0	1560.0	853.0	1292.0
757.0	807.0	1052.0	1212.0	3039.0	2298.0	2320.0	4886.0	1400.0	1320.0	1500.0	1636.0	3414.0	2710.0	2746.0	5508.0
1401.0	1137.0	1558.0	1778.0	2040.0	2428.0	2081.0	1982.0	7964.0	8680.0	9447.0	10649.0	9230.0	9561.0	10106.0	7715.0
303.0	366.0	272.0	363.0	499.0	1040.0	682.0	672.0	5317.0	5916.0	4471.0	6613.0	6843.0	9819.0	6965.0	7233.0
947.0	1173.0	1636.0	1616.0	1873.0	1821.0	2150.0	1876.0	4247.0	5360.0	5383.0	6032.0	12407.0	12475.0	12798.0	11656.0
454.0	366.0	389.0	323.0	291.0	216.0	307.0	389.0	8266.0	7192.0	9504.0	7348.0	10049.0	9035.0	10238.0	11128.0
378.0	733.0	974.0	727.0	83.0	303.0	409.0	141.0	5740.0	6609.0	7111.0	5087.0	9251.0	9199.0	9524.0	7868.0
340.0	183.0	116.0	161.0	666.0	433.0	409.0	354.0	3310.0	3334.0	3542.0	3759.0	2494.0	2344.0	2767.0	1945.0
719.0	1393.0	662.0	970.0	1373.0	1431.0	1296.0	1203.0	6790.0	8104.0	6559.0	7029.0	5772.0	4884.0	6357.0	5079.0
1363.0	1393.0	1792.0	1980.0	3372.0	2471.0	2832.0	2974.0	8973.0	8935.0	8536.0	7228.0	8473.0	6609.0	8880.0	6410.0
3561.0	3888.0	3585.0	3193.0	4704.0	5898.0	5426.0	5806.0	7194.0	5945.0	6278.0	5582.0	6720.0	7781.0	7495.0	7630.0
189.0	146.0	233.0	323.0	208.0	346.0	136.0	177.0	1082.0	752.0	1243.0	1070.0	437.0	628.0	375.0	442.0
530.0	586.0	389.0	202.0	874.0	390.0	443.0	708.0	8160.0	7246.0	6285.0	5774.0	5568.0	3147.0	4108.0	4141.0
454.0	623.0	428.0	687.0	1248.0	1214.0	1604.0	1664.0	8914.0	7336.0	7938.0	6871.0	10322.0	7885.0	11623.0	9675.0
681.0	550.0	506.0	485.0	291.0	216.0	375.0	424.0	2653.0	2512.0	1948.0	1858.0	2276.0	1902.0	2133.0	2213.0
1250.0	1980.0	1675.0	1374.0	791.0	910.0	784.0	531.0	9125.0	11384.0	9686.0	10571.0	8415.0	8355.0	10194.0	7587.0
2424.0	1724.0	2805.0	1859.0	5162.0	5941.0	6211.0	5275.0	5214.0	4205.0	5046.0	3841.0	8809.0	8699.0	9312.0	8179.0
757.0	513.0	467.0	485.0	1207.0	1691.0	2218.0	1416.0	8810.0	7443.0	8062.0	8818.0	10877.0	11911.0	13204.0	12209.0
340.0	330.0	311.0	485.0	249.0	260.0	307.0	424.0	1326.0	1100.0	936.0	1234.0	416.0	520.0	682.0	690.0
795.0	953.0	779.0	606.0	374.0	433.0	750.0	283.0	6521.0	6577.0	5607.0	6186.0	8921.0	6285.0	8833.0	6157.0
113.0	293.0	77.0	242.0	416.0	650.0	511.0	637.0	1495.0	2096.0	1590.0	1719.0	2040.0	2733.0	2611.0	2479.0
189.0	293.0	116.0	242.0	333.0	303.0	238.0	460.0	4405.0	4891.0	3896.0	3514.0	2752.0	2734.0	2437.0	2859.0
227.0	183.0	116.0	161.0	374.0	520.0	375.0	637.0	18943.0	15285.0	19484.0	16167.0	14987.0	14065.0	15642.0	14485.0
75.0	146.0	77.0	80.0	291.0	216.0	273.0	354.0	1377.0	1287.0	1367.0	1418.0	1787.0	1455.0	1161.0	1433.0
681.0	513.0	389.0	848.0	249.0	390.0	375.0	424.0	3627.0	2821.0	2278.0	3315.0	811.0	1172.0	887.0	1344.0
303.0	293.0	272.0	282.0	208.0	216.0	204.0	212.0	25257.0	22574.0	22732.0	17683.0	29738.0	21684.0	29253.0	26556.0
530.0	696.0	545.0	444.0	124.0	390.0	477.0	106.0	19644.0	17424.0	17049.0	17100.0	24979.0	24394.0	28106.0	21244.0
1856.0	1467.0	1169.0	767.0	2164.0	2298.0	1808.0	2159.0	29006.0	23667.0	21649.0	18284.0	23031.0	22534.0	24778.0	22039.0
606.0	440.0	935.0	970.0	499.0	910.0	511.0	778.0	4041.0	3550.0	4390.0	3702.0	1332.0	1603.0	1418.0	1734.0
340.0	366.0	350.0	242.0	333.0	260.0	170.0	389.0	3747.0	3460.0	2805.0	2724.0	5645.0	5204.0	5171.0	5644.0
947.0	990.0	896.0	1050.0	541.0	1431.0	1672.0	1168.0	2422.0	2896.0	2455.0	3713.0	1125.0	1885.0	2269.0	1912.0
1401.0	953.0	1052.0	767.0	999.0	780.0	887.0	991.0	22250.0	20293.0	22386.0	17859.0	34455.0	24394.0	29578.0	33047.0
151.0	403.0	428.0	363.0	915.0	433.0	682.0	672.0	2568.0	2726.0	3375.0	2491.0	3271.0	1953.0	3313.0	2899.0
